Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Start Year,Start Month,Start Day,End Year,End Month,End Day,"Total Damage, Adjusted ('000 US$)",Total Deaths,Total Affected
Hydrological,Flood,Flood (General),Indonesia,2021,10,5.0,2021,10.0,6.0,,,79095.0
Hydrological,Flood,Flood (General),Cambodia,2021,10,12.0,2021,10.0,15.0,,,225.0
Hydrological,Flood,Flood (General),Indonesia,2021,11,19.0,2021,11.0,25.0,,,11028.0
Meteorological,Storm,Tropical cyclone,Philippines,2021,12,16.0,2021,12.0,17.0,1059566.0,457.0,10608996.0
Hydrological,Flood,Flash flood,Malaysia,2021,12,17.0,2022,1.0,3.0,1690174.0,56.0,120000.0
Hydrological,Flood,Flood (General),Indonesia,2022,2,10.0,2022,2.0,15.0,12862.0,1.0,14700.0
Hydrological,Flood,Flood (General),Thailand,2022,4,3.0,2022,4.0,5.0,13934.0,,108500.0
Hydrological,Flood,Flood (General),Vietnam,2022,5,21.0,2022,5.0,30.0,,13.0,2554.0
Hydrological,Flood,Flood (General),Thailand,2022,5,20.0,2022,5.0,24.0,,,3900.0
Meteorological,Storm,Storm surge,Philippines,2022,9,25.0,2022,9.0,26.0,61039.0,17.0,913945.0
Hydrological,Flood,Flood (General),Philippines,2023,2,13.0,2023,2.0,20.0,5147.0,15.0,32764.0
Meteorological,Storm,Tropical cyclone,Philippines,2009,11,25.0,2009,11.0,25.0,18.0,4.0,48142.0
Hydrological,Flood,Riverine flood,Thailand,2009,11,7.0,2009,11.0,8.0,,15.0,200000.0
Hydrological,Landslide,Landslide (wet),Indonesia,2009,11,8.0,2009,11.0,8.0,,14.0,
Hydrological,Flood,Flash flood,Philippines,2009,7,17.0,2009,7.0,17.0,,,920.0
Hydrological,Landslide,Landslide (wet),Philippines,2009,5,18.0,2009,5.0,18.0,,10.0,16.0
Geophysical,Earthquake,Ground movement,Indonesia,2009,2,11.0,2009,2.0,11.0,13160.0,,3049.0
